0x01	File
0x366	Invalid FontSize. Font size must be a valid number between 1 and 50.
0x367	Invalid MaxItem. MaxItem must be a valid number between 1 and 100.
0x368	Invalid Image Size. Please enter in a,b format where a and b are numbers.
0x369	Invalid Stamp Size. Please enter in a,b format where a and b are numbers.
0x36a	Invalid Stamp Margin. Please enter in a,b format where a and b are numbers.
0x36b	Invalid Image DPI. DPI must be a valid number between 1 and 100.
0x36c	out of allowed range.
0x36d	cannot be empty.
0x36e	Invalid Scope.

0x375	Invalid Background Color Code.
0x376	Invalid Foreground Color Code.

0x381	No Cards found.
0x382	No Cards selected.
0x383	No Cards for copy.
0x384	No Cards for export.
0x385	No Cards for filter.
0x386	No Cards for save.
0x387	No Cards for Replaced.
0x388	No files found.
0x389	No selected Window.
0x38a	No selected Card Database.
0x38b	No valid Cards found.
0x38c	No valid Datas found.
0x38d	No valid Data in Clipboard.
0x38e	Not intended for regular users.
0x38f	Konami ID not found.
0x390	Unable to search Yugipedia for this Card.

0x395	Folder does not exist.
0x396	File does not exist.
0x397	File already exist.
0x398	Card does not exist in database.
0x399	Card ID already exists.
0x39a	Card ID does not exist.
0x39b	Card ID does not exist in the List.
0x39c	Not a Folder.
0x39d	Not a Database File.
0x39e	Not an Image File.
0x39f	Width or Height value is not a valid number.
0x3a0	Lua file
0x3a1	Description for this ID
0x32a	for ID
0x3a3	not found
0x3a4	is empty

0x3aa	Database created successfully, do you want to open it?
0x3ab	File created successfully, do you want to open it?
0x3ac	New card added successfully!
0x3ad	Card updated successfully!
0x3ae	Card deleted successfully.
0x3af	Cards copied successfully!
0x3b0	Cards pasted successfully!
0x3b1	Cards Replaced successfully!
0x3b2	Card Image Created successfully!
0x3b3	Save cards successfully!
0x3b4	Save Script successfully!
0x3b5	Data exported successfully!
0x3b6	Data imported successfully!
0x3b7	Zip file exported successfully at:
0x3b8	Excel file exported successfully at:
0x3b9	Registry Key created successfully at:
0x3ba	Double Click this file to set Registry Key.

0x3c1	Extract functions data successfully!
0x3c2	Extract constants data successfully!
0x3c3	Repository has been cloned successfully!
0x3c4	Data has been updated successfully!
0x3c5	Settings have been reset to default.
0x3c6	Restart application to apply.
0x3c7	Filter successful. Found
0x3c8	cards out of
0x3c9	total cards.

0x3d4	Select Folder
0x3d5	Save Database File
0x3d6	Save File
0x3d7	All Files
0x3d8	Text Documents
0x3d9	Markdown
0x3da	log
0x3db	Deck
0x3dc	YAML
0x3dd	Configuration
0x3de	Zip file
0x3df	Excel file

0x3e5	Confirm Reset?
0x3e6	Confirm Clear?
0x3e7	Confirm Delete?

0x3f1	Card ID has been changed.
0x3f2	Delete the selected card or the card with newly entered ID?
0x3f3	Create the Card Script of the selected card or the card with newly entered ID?
0x3f4	Create the Image of the selected card or the card with newly entered ID?
0x3f5	The Selected Card
0x3f6	Newly entered ID

0x401	Do you want to delete all selected data on the interface?
0x402	Are you sure? Cards with 4 digit IDs or lower will be the game ignore.
0x403	Are you sure you want to Clear all selected data on the interface?
0x404	Are you sure you want to Reset the selected card? Changes will not be saved.
0x405	Are you sure you want to reset settings to default? All changes will be lost.
0x406	Are you sure you want to PERMANENTLY DELETE selected card?
0x407	Are you sure you want to save a blank file?
0x408	Do you want to overwrite it?

0x415	Data source is missing or invalid, download now?
0x416	No updates found.
0x417	Update Complete!
0x418	Update Available, dowload it now?

0x421	Unable to delete existing file after multiple attempts.
0x422	git.exe path not found, make sure Git is installed and using correct path in application configuration
0x423	Git Path is missing or empty in configuration. Using default Git path.
0x424	The syntax highlighting file does not exist.
0x425	Using default path.

0x441	Save your changes for this file?
0x442	You are closing
0x443	tabs. Do you want to continue?
